T;VF;Tr;l_tpb;E;i;Cd
800;0.2;2;3;1.0870356079946846;0.0;0.0
800;0.2;2;3;1.0870356079946846;0.03;3.3035372166516983
800;0.2;2;3;1.0870356079946846;0.06;6.764089662169047
800;0.2;2;3;1.0870356079946846;0.09;10.546135409175434
800;0.2;2;3;1.0870356079946846;0.12;14.829432922492531
800;0.2;2;3;1.0870356079946846;0.15;19.817564875856593
800;0.2;2;3;1.0870356079946846;0.18;25.747614319617913
800;0.2;2;3;1.0870356079946846;0.21;32.901433102123626
800;0.2;2;3;1.0870356079946846;0.24;41.61903812638807
800;0.2;2;3;1.0870356079946846;0.27;52.31477215844572
800;0.2;2;3;1.0870356079946846;0.3;65.49699730133705
800;0.2;2;4;0.9414004513416595;0.0;0.0
800;0.2;2;4;0.9414004513416595;0.03;4.1333613595348275
800;0.2;2;4;0.9414004513416595;0.06;8.463179013426041
800;0.2;2;4;0.9414004513416595;0.09;13.19524671100555
800;0.2;2;4;0.9414004513416595;0.12;18.554476915434982
800;0.2;2;4;0.9414004513416595;0.15;24.795590764060886
800;0.2;2;4;0.9414004513416595;0.18;32.21522481795455
800;0.2;2;4;0.9414004513416595;0.21;41.166030027497065
800;0.2;2;4;0.9414004513416595;0.24;52.073433029756146
800;0.2;2;4;0.9414004513416595;0.27;65.45585643250415
800;0.2;2;4;0.9414004513416595;0.3;81.94935914337742
800;0.2;2;5;0.8420141612995734;0.0;0.0
800;0.2;2;5;0.8420141612995734;0.03;4.875763631947845
800;0.2;2;5;0.8420141612995734;0.06;9.983269512388066
800;0.2;2;5;0.8420141612995734;0.09;15.56527446594721
800;0.2;2;5;0.8420141612995734;0.12;21.887087986005415
800;0.2;2;5;0.8420141612995734;0.15;29.24918224272457
800;0.2;2;5;0.8420141612995734;0.18;38.001473352933196
800;0.2;2;5;0.8420141612995734;0.21;48.559952692433335
800;0.2;2;5;0.8420141612995734;0.24;61.42645872746308
800;0.2;2;5;0.8420141612995734;0.27;77.21252910912206
800;0.2;2;5;0.8420141612995734;0.3;96.6684667071257
800;0.2;2;6;0.7686502498042831;0.0;0.0
800;0.2;2;6;0.7686502498042831;0.03;5.547954869755871
800;0.2;2;6;0.7686502498042831;0.06;11.359600851941206
800;0.2;2;6;0.7686502498042831;0.09;17.71116214629542
800;0.2;2;6;0.7686502498042831;0.12;24.904524817628165
800;0.2;2;6;0.7686502498042831;0.15;33.28158526730577
800;0.2;2;6;0.7686502498042831;0.18;43.240500373082654
800;0.2;2;6;0.7686502498042831;0.21;55.25461165710217
800;0.2;2;6;0.7686502498042831;0.24;69.89494293691637
800;0.2;2;6;0.7686502498042831;0.27;87.85734075997203
800;0.2;2;6;0.7686502498042831;0.3;109.99554759084515
800;0.2;2;7;0.711631850963998;0.0;0.0
800;0.2;2;7;0.711631850963998;0.03;6.162795696858318
800;0.2;2;7;0.711631850963998;0.06;12.618505537960855
800;0.2;2;7;0.711631850963998;0.09;19.673965708800427
800;0.2;2;7;0.711631850963998;0.12;27.664518184001334
800;0.2;2;7;0.711631850963998;0.15;36.969949339007634
800;0.2;2;7;0.711631850963998;0.18;48.032540978647226
800;0.2;2;7;0.711631850963998;0.21;61.378091737604734
800;0.2;2;7;0.711631850963998;0.24;77.64090798790875
800;0.2;2;7;0.711631850963998;0.27;97.59395205693085
800;0.2;2;7;0.711631850963998;0.3;122.18558068340309
800;0.2;2;8;0.665670642955764;0.0;0.0
800;0.2;2;8;0.665670642955764;0.03;6.730094221479188
800;0.2;2;8;0.665670642955764;0.06;13.780065960652577
800;0.2;2;8;0.665670642955764;0.09;21.48499633013576
800;0.2;2;8;0.665670642955764;0.12;30.211096250532357
800;0.2;2;8;0.665670642955764;0.15;40.37311224541697
800;0.2;2;8;0.665670642955764;0.18;52.45403910568542
800;0.2;2;8;0.665670642955764;0.21;67.02807635490073
800;0.2;2;8;0.665670642955764;0.24;84.78791962326429
800;0.2;2;8;0.665670642955764;0.27;106.57768407356102
800;0.2;2;8;0.665670642955764;0.3;133.43302471062836
800;0.3;2;3;1.3313412859115277;0.0;0.0
800;0.3;2;3;1.3313412859115277;0.03;3.5440621126078944
800;0.3;2;3;1.3313412859115277;0.06;7.2565714644114845
800;0.3;2;3;1.3313412859115277;0.09;11.313981495257329
800;0.3;2;3;1.3313412859115277;0.12;15.90913857641796
800;0.3;2;3;1.3313412859115277;0.15;21.26044788799404
800;0.3;2;3;1.3313412859115277;0.18;27.62225409183856
800;0.3;2;3;1.3313412859115277;0.21;35.296930187432345
800;0.3;2;3;1.3313412859115277;0.24;44.64924912709613
800;0.3;2;3;1.3313412859115277;0.27;56.12372126516586
800;0.3;2;3;1.3313412859115277;0.3;70.2657216801453
800;0.3;2;4;1.1529753747064246;0.0;0.0
800;0.3;2;4;1.1529753747064246;0.03;4.5054946936354785
800;0.3;2;4;1.1529753747064246;0.06;9.2251329655265
800;0.3;2;4;1.1529753747064246;0.09;14.383236515361727
800;0.3;2;4;1.1529753747064246;0.12;20.22496704596919
800;0.3;2;4;1.1529753747064246;0.15;27.0279786584171
800;0.3;2;4;1.1529753747064246;0.18;35.11561459216404
800;0.3;2;4;1.1529753747064246;0.21;44.8722755437478
800;0.3;2;4;1.1529753747064246;0.24;56.76169001138405
800;0.3;2;4;1.1529753747064246;0.27;71.34895504447324
800;0.3;2;4;1.1529753747064246;0.3;89.32739498219621
800;0.3;2;5;1.0312525256907428;0.0;0.0
800;0.3;2;5;1.0312525256907428;0.03;5.38673176834913
800;0.3;2;5;1.0312525256907428;0.06;11.029491807601918
800;0.3;2;5;1.0312525256907428;0.09;17.19647726550996
800;0.3;2;5;1.0312525256907428;0.12;24.18080142325675
